WWE Clash at the Castle: Scotland,Sami Zayn,Chad Gable,Yes
WWE Clash at the Castle: Scotland,Bayley,Piper Niven,Yes
WWE Clash at the Castle: Scotland,Damian Priest,Drew McIntyre,Yes
WWE Money in the Bank,Sami Zayn,Bron Breakker,Yes
WWE Money in the Bank,Damian Priest,Seth Rollins,Yes
WWE Money in the Bank,Drew McIntyre,Seth Rollins,Yes
NXT Heatwave,Oba Femi,Wes Lee,Yes
NXT Heatwave,Kelani Jordan,Sol Ruca,Yes
NXT Heatwave,Axiom,Andre Chase,Yes
NXT Heatwave,Nathan Frazer,Duke Hudson,Yes
NXT Heatwave,Roxanne Perez,Lola Vice,Yes
NXT Heatwave,Ethan Page,Trick Williams,Yes
NXT Heatwave,Ethan Page,Shawn Spears,Yes
NXT Heatwave,Ethan Page,Je'Von Evans,Yes
NXT The Great American Bash,Isla Dawn,Jakara Jackson,Yes
NXT The Great American Bash,Alba Fyre,Lash Legend,Yes
NXT The Great American Bash,Tony D'Angelo,Tavion Heights,Yes
NXT The Great American Bash,Roxanne Perez,Thea Hail,Yes
NXT The Great American Bash,Kelani Jordan,Tatum Paxley,Yes
NXT The Great American Bash,Ethan Page,Oro Mensah,Yes
NXT The Great American Bash,Nathan Frazer,Zachary Wentz,Yes
NXT The Great American Bash,Axiom,Wes Lee,Yes
WWE SummerSlam,Liv Morgan,Rhea Ripley,Yes
WWE SummerSlam,Bron Breakker,Sami Zayn,Yes
WWE SummerSlam,LA Knight,Logan Paul,Yes
WWE SummerSlam,Nia Jax,Bayley,Yes
WWE SummerSlam,Gunther,Damian Priest,Yes
WWE SummerSlam,Cody Rhodes,Solo Sikoa,Yes
NXT No Mercy,Nathan Frazer,Andre Chase,Yes
NXT No Mercy,Axiom,Ridge Holland,Yes
NXT No Mercy,Kelani Jordan,Wendy Choo,Yes
NXT No Mercy,Oba Femi,Tony D'Angelo,Yes
NXT No Mercy,Roxanne Perez,Jaida Parker,Yes
NXT No Mercy,Ethan Page,Joe Hendry,Yes
WWE Bad Blood,Nia Jax,Bayley,Yes
WWE Bad Blood,Rhea Ripley,Liv Morgan,Yes
NXT Halloween Havoc,Tony D'Angelo,Oba Femi,Yes
NXT Halloween Havoc,Fallon Henley,Kelani Jordan,Yes
NXT Halloween Havoc,Trick Williams,Ethan Page,Yes
WWE Crown Jewel,Bianca Belair,IYO SKY,Yes
WWE Crown Jewel,Jade Cargill,Kairi Sane,Yes
WWE Crown Jewel,LA Knight,Andrade,Yes
WWE Crown Jewel,LA Knight,Carmelo Hayes,Yes
WWE Crown Jewel,Cody Rhodes,Gunther,Yes
WWE Survivor Series,Shinsuke Nakamura,LA Knight,Yes
WWE Survivor Series,Bron Breakker,Sheamus,Yes
WWE Survivor Series,Gunther,Damian Priest,Yes
NXT Deadline,Nathan Frazer,Myles Borne,Yes
NXT Deadline,Trick Williams,Ridge Holland,Yes
WWE Saturday Night's Main Event XXXVII,Liv Morgan,IYO SKY,Yes
WWE Saturday Night's Main Event XXXVII,Gunther,Damian Priest,Yes
WWE Saturday Night's Main Event XXXVII,Chelsea Green,Michin,Yes
WWE Saturday Night's Main Event XXXVII,Cody Rhodes,Kevin Owens,Yes
WWE WrestleMania XL,Rhea Ripley,Becky Lynch,Yes
WWE WrestleMania XL,Damian Priest,Finn Balor,Yes
WWE WrestleMania XL,R-Truth,The Miz,Yes
WWE WrestleMania XL,Sami Zayn,Gunther,Yes
WWE WrestleMania XL,Drew McIntyre,Seth Rollins,Yes
WWE WrestleMania XL,Drew McIntyre,Damian Priest,Yes
WWE WrestleMania XL,Logan Paul,Randy Orton,Yes
WWE WrestleMania XL,Bayley,IYO SKY,Yes
WWE WrestleMania XL,Cody Rhodes,Roman Reigns,Yes
WWE Bash in Berlin,Cody Rhodes,Kevin Owens,Yes
WWE Bash in Berlin,Bianca Belair,Alba Fyre,Yes
WWE Bash in Berlin,Jade Cargill,Alba Fyre,Yes
WWE Bash in Berlin,Gunther,Randy Orton,Yes
NXT 2300,Tony D'Angelo,Nunzio,Yes
WWE Survivor Series,Santos Escobar,Dragon Lee,No
WWE Survivor Series,Rhea Ripley,Zoey Stark,Yes
WWE Survivor Series,Cody Rhodes,Drew McIntyre,No
WWE Survivor Series,"Seth ""Freakin"" Rollins",Drew McIntyre,No
WWE Survivor Series,Randy Orton,Drew McIntyre,No
WWE Survivor Series,Sami Zayn,Drew McIntyre,No
WWE Survivor Series,Jey Uso,Drew McIntyre,No
WWE Survivor Series,Drew McIntyre,Finn Bálor,No
WWE Survivor Series,Drew McIntyre,Damian Priest,No
WWE Survivor Series,Drew McIntyre,Dominik Mysterio,No
WWE Survivor Series,Drew McIntyre,JD McDonagh,No
Event Name,Winner,Loser,Title Match (Yes/No)
WWE SmackDown,Santos Escobar,Dragon Lee,No
WWE SmackDown,Bobby Lashley,Karrion Kross,No
WWE SmackDown,Asuka,Charlotte Flair,No
WWE SmackDown,Randy Orton,Jimmy Uso,No
WWE SmackDown,LA Knight,Solo Sikoa,No
Event Name,Winner,Loser,Title Match (Yes/No)
NXT Deadline,Axiom,Nathan Frazer,No
NXT Deadline,Dragon Lee,Dominik Mysterio,Yes
NXT Deadline,Blair Davenport,Lash Legend,No
NXT Deadline,Carmelo Hayes,Lexis King,No
NXT Deadline,Trick Williams,Dijak,No
NXT Deadline,Roxanne Perez,Kiana James,No
NXT Deadline,Ilja Dragunov,Baron Corbin,Yes
